Title,Location,Price,Area
Apartment Arubastraat 2 hs,            1058 VE Amsterdam (Westindische Buurt)        ,"                €2,450 per month            ",90 m²
Apartment Klaas Katerstraat,            1069 RT Amsterdam (Osdorp-Midden)        ,"                €2,000 per month            ",79 m²
Apartment Palmgracht,            1015 HN Amsterdam (Jordaan)        ,"                €1,750 per month            ",50 m²
Apartment Stadionkade,            1077 VN Amsterdam (Apollobuurt)        ,"                €2,150 per month            ",65 m²
Apartment Van Brakelstraat,            1057 XC Amsterdam (Chassébuurt)        ,"                €1,550 per month            ",57 m²
Apartment Runstraat 12 I,            1016 GK Amsterdam (Grachtengordel-West)        ,"                €2,275 per month            ",80 m²
Apartment Kerkstraat,            1017 GH Amsterdam (Grachtengordel-Zuid)        ,"                €2,100 per month            ",70 m²
Apartment Sint Pieterspoortsteeg,            1012 HM Amsterdam (Burgwallen-Oude Zijde)        ,"                €1,700 per month            ",63 m²
Apartment Sajetplein 26,            1091 DJ Amsterdam (Oosterparkbuurt)        ,"                €1,950 per month            ",75 m²
Apartment Kleiburg,"            1104 EA Amsterdam (Bijlmer Oost (E,G,K))        ","                €2,095 per month            ",132 m²
Apartment Osdorpplein,            1068 TD Amsterdam (Osdorp-Oost)        ,"                €2,600 per month            ",54 m²
Apartment Albatrospad 92,            1021 TR Amsterdam (IJplein/Vogelbuurt)        ,"                €1,800 per month            ",85 m²
Apartment Nieuwezijds Voorburgwal 308 F,            1012 RV Amsterdam (Burgwallen-Nieuwe Zijde)        ,"                €2,000 per month            ",64 m²
Apartment Oudezijds Achterburgwal,            1012 DW Amsterdam (Burgwallen-Oude Zijde)        ,"                €1,600 per month            ",50 m²
Apartment Prinseneiland,            1013 LP Amsterdam (Haarlemmerbuurt)        ,"                €1,900 per month            ",65 m²
Apartment Kerkstraat,            1017 JC Amsterdam (Grachtengordel-Zuid)        ,"                €10,000 per month            ",203 m²
House Kantershof,"            1104 GM Amsterdam (Bijlmer Oost (E,G,K))        ","                €1,750 per month            ",90 m²
Apartment Koninginneweg 8 1,            1075 CX Amsterdam (Willemspark)        ,"                €3,950 per month            ",132 m²
Apartment Johannes Verhulststraat,            1071 NN Amsterdam (Museumkwartier)        ,"                €3,500 per month            ",113 m²
Apartment Van Baerlestraat 18 2,            1071 AW Amsterdam (Museumkwartier)        ,"                €2,500 per month            ",89 m²
Apartment Orteliuskade 46 HS,            1057 AH Amsterdam (Hoofdweg e.o.)        ,"                €1,700 per month            ",60 m²
Apartment Zeeburgerkade,            1019 HT Amsterdam (Oostelijk Havengebied)        ,"                €1,800 per month            ",80 m²
House G.J. Scheurleerweg 70,            1022 KL Amsterdam (Elzenhagen)        ,"                €2,750 per month            ",118 m²
Apartment Tolstraat 36 PP,            1073 SB Amsterdam (Zuid Pijp)        ,"                €2,650 per month            ",88 m²
Apartment Dirk van Hasseltssteeg 34,            1012 NE Amsterdam (Burgwallen-Nieuwe Zijde)        ,"                €2,150 per month            ",95 m²
Apartment Europaplein 47,            1078 GV Amsterdam (Scheldebuurt)        ,"                €2,225 per month            ",90 m²
Apartment Koningin Wilhelminaplein,            1062 KS Amsterdam (Westlandgracht)        ,"                €1,875 per month            ",80 m²
Apartment Johannes Verhulststraat,            1071 NA Amsterdam (Museumkwartier)        ,"                €3,500 per month            ",150 m²
Apartment Herengracht 26 I,            1015 BL Amsterdam (Grachtengordel-West)        ,"                €2,500 per month            ",74 m²
Apartment Minervaplein,            1077 TJ Amsterdam (Apollobuurt)        ,"                €2,750 per month            ",110 m²
House Valkenburgerstraat 198 A,            1011 NC Amsterdam (Nieuwmarkt/Lastage)        ,"                €2,200 per month            ",84 m²
Apartment Schierstins,            1082 TC Amsterdam (Buitenveldert-West)        ,"                €2,200 per month            ",68 m²
